badge,clean address,clean up,conf dt,ent due,ent ovp,entity,fine,hold ct,iss dt,iss time,last seiz,lat,location,long,meter,multno,nix dt,seiz dt,seiz stat,termdt,ticket,viol
14,,meter,2017277,$315.00,$0.00,3314358,$50.00,4,2013361,1507,0,39.96205,BROAD ST W,-83.00119,WN9,0,0,0,,0,5562463052,14
16,,meter,2017228,$0.00,$0.00,3645622,$500.00,0,2013263,1111,0,39.953346,FULTON ST W,-82.999306,WA5,0,0,0,,0,5562157012,49
17,,meter,2005195,$0.00,$0.00,2477708,$25.00,0,2013126,2136,0,39.97447,HIGH ST N,-83.00291,K494,0,0,0,,0,5561661471,29
20,,meter,0,$0.00,$0.00,3345326,$50.00,0,2013304,2013,0,39.97282,PARK ST,-83.00467,NI657,0,0,0,,0,5562383473,13
17,,meter,2017354,$65.00,$0.00,3308686,$25.00,1,2013150,2135,0,39.972412,SPRUCE ST W,-83.004845,WBB103,0,2017353,0,,0,5561754022,29
5,,meter,2017256,$450.00,$0.00,3276598,$25.00,5,2013128,2140,0,39.979115,HUBBARD AVE E,-83.002304,K265,0,0,0,,0,5561630796,29
9,,meter,2016293,$0.00,$0.00,3289534,$25.00,0,2013065,1136,0,39.953323,FULTON ST W,-82.99952,WA17,0,0,0,,0,5561285350,29
16,,meter,0,$0.00,$0.00,3300787,$25.00,0,2013113,1414,0,39.96136,6TH ST S,-82.99241,SS109,0,0,0,,0,5561475315,29
19,,meter,2013163,$0.00,$0.00,3307530,$50.00,0,2013143,1612,0,39.96852,NATIONWIDE BL W,-83.00523,WX123,0,0,0,,0,5561764673,14
19,,meter,0,$0.00,$0.00,3331927,$25.00,0,2013318,2050,2013253,40.00309,EIGHTEENTH AVE E,-83.00803,UE465,0,0,2013254,,0,5562468674,29
20,,meter,2016055,$330.00,$0.00,3184059,$45.00,2,2013039,1840,0,39.981274,HIGH ST N,-83.004486,K755,0,0,0,,0,5561275981,72
